"variant","source","f_revised"
"oil","palm | soybean | sunflower | groundnut","lipid base"
"snf","milk","processed_ingredient"
"soy","soybean","raw_agricultural_material"
"tvp","soybean","processed_ingredient"
"oat","oat","raw_agricultural_material"
"wpc","milk","processed_ingredient"
"dha","algae | fish","lipid base"
"egg","egg","raw_agricultural_material"
"hvp","soybean","processed_ingredient"
"tea","tea","flavouring agent"
"fig","fig","raw_agricultural_material"
"bht","synthetic","antioxidant|preservative"
"fos","sugarcane | chicory","sweetener|bulking agent"
"rye","rye","raw_agricultural_material"
"tvp","soybean","processed_ingredient"
"palm","palm","raw_agricultural_material"
"oils","palm | soybean | sunflower | groundnut","lipid base"
"salt","mineral","raw_agricultural_material"
"sait","mineral","raw_agricultural_material"
"salz","mineral","raw_agricultural_material"
"date","date","raw_agricultural_material"
"milk","milk","raw_agricultural_material"
"milk","milk","raw_agricultural_material"
"ragi","ragi","raw_agricultural_material"
"mint","mint","taste profile / spice"
"soya","soybean","raw_agricultural_material"
"urad","urad","raw_agricultural_material"
"zinc","mineral","raw_agricultural_material"
"oats","oats","raw_agricultural_material"
"hing","asafoetida","taste profile / spice"
"peas","peas","raw_agricultural_material"
"milk","milk","raw_agricultural_material"
"whey","milk","processed_ingredient"
"amra","hog plum","raw_agricultural_material"
"พริก","chili","taste profile / spice"
"curd","milk","processed_ingredient"
"dahi","milk","processed_ingredient"
"ghee","milk","lipid base"
"lime","lime","flavouring agent"
"mace","mace","taste profile / spice"
"monk","monk fruit","sweetener"
"okra","okra","raw_agricultural_material"
"plum","plum","raw_agricultural_material"
"rice","rice","raw_agricultural_material"
"paua","abalone","raw_agricultural_material"
"poha","rice","raw_agricultural_material"
"sago","sago","processed_ingredient"
"rava","wheat","raw_agricultural_material"
"salt","mineral","raw_agricultural_material"
"tbhq","synthetic","antioxidant|preservative"
"atta","wheat","raw_agricultural_material"
"figs","fig","raw_agricultural_material"
"balm","balm","taste profile / spice"
"bran","wheat","processed_ingredient"
"kale","kale","raw_agricultural_material"
"khoa","milk","processed_ingredient"
"carot","carrot","raw_agricultural_material"
"cream","milk","lipid base"
"dates","date","raw_agricultural_material"
"maida","wheat","raw_agricultural_material"
"mango","mango","raw_agricultural_material"
